PATH,NODE,ACCESS,BUILT-IN-TYPE,DERIVED-TYPE,AUGMENT,CONSTRAINTS,NOTES
acl/acl-sets/acl-set/acl-entries/acl-entry/transport/config/source-port,leaf,read+write,union,oc-pkt-match-types:port-num-range,,,
acl/acl-sets/acl-set/acl-entries/acl-entry/transport/config/source-port-list,leaf-list,read+write,union,openconfig-packet-match-types:port-num-range,,,gNMI-only access
acl/acl-sets/acl-set/acl-entries/acl-entry/transport/config/source-port-set,leafref,read+write,string,,,,The leafref type is not supported. Workaround is to set to same type as leafref.
acl/acl-sets/acl-set/acl-entries/acl-entry/transport/state/builtin-detail,leaf,read,enumeration,,,,gNMI-only access
acl/acl-sets/acl-set/acl-entries/acl-entry/transport/state/destination-port,leaf,read,union,oc-pkt-match-types:port-num-range,,,
acl/acl-sets/acl-set/acl-entries/acl-entry/transport/state/destination-port-list,leaf-list,read,union,openconfig-packet-match-types:port-num-range,,,gNMI-only access
acl/acl-sets/acl-set/acl-entries/acl-entry/transport/state/destination-port-set,leafref,read,string,,,,The leafref type is not supported. Workaround is to set to same type as leafref.
acl/acl-sets/acl-set/acl-entries/acl-entry/transport/state/detail-mode,leaf,read,enumeration,,,,gNMI-only access
acl/acl-sets/acl-set/acl-entries/acl-entry/transport/state/explicit-detail-match-mode,leaf,read,enumeration,,,,gNMI-only access
acl/acl-sets/acl-set/acl-entries/acl-entry/transport/state/explicit-tcp-flags,leaf-list,read,identityref,,,,
acl/acl-sets/acl-set/acl-entries/acl-entry/transport/state/source-port,leaf,read,union,oc-pkt-match-types:port-num-range,,,
acl/acl-sets/acl-set/acl-entries/acl-entry/transport/state/source-port-list,leaf-list,read,union,openconfig-packet-match-types:port-num-range,,,gNMI-only access
acl/acl-sets/acl-set/acl-entries/acl-entry/transport/state/source-port-set,leafref,read,string,,,,The leafref type is not supported. Workaround is to set to same type as leafref.
acl/interfaces/interface/id,leafref,read+write,string,oc-if:interface-id,,,
acl/interfaces/interface/config/id,leaf,read+write,string,oc-if:interface-id,,,
acl/interfaces/interface/state/id,leaf,read,string,oc-if:interface-id,,,
acl/interfaces/interface/egress-acl-sets/egress-acl-set/config/set-name,leafref,read+write,string,,,,
acl/interfaces/interface/egress-acl-sets/egress-acl-set/config/type,leafref,read+write,identityref,,,,
acl/interfaces/interface/egress-acl-sets/egress-acl-set/state/set-name,leafref,read,string,,,,
acl/interfaces/interface/egress-acl-sets/egress-acl-set/state/type,leafref,read,identityref,,,,
acl/interfaces/interface/egress-acl-sets/egress-acl-set/acl-entries/acl-entry/state,,not-supported,,,,,Per-interface ACL state is not supported in EOS
acl/interfaces/interface/ingress-acl-sets/ingress-acl-set/config/set-name,leafref,read+write,string,,,,
acl/interfaces/interface/ingress-acl-sets/ingress-acl-set/config/type,leafref,read+write,identityref,,,,
acl/interfaces/interface/ingress-acl-sets/ingress-acl-set/state/set-name,leafref,read,string,,,,
acl/interfaces/interface/ingress-acl-sets/ingress-acl-set/state/type,leafref,read,identityref,,,,
acl/interfaces/interface/ingress-acl-sets/ingress-acl-set/acl-entries/acl-entry/state,,not-supported,,,,,Per-interface ACL state is not supported in EOS
acl/interfaces/interface/interface-ref/config/interface,leafref,read+write,string,,,,
acl/interfaces/interface/interface-ref/config/subinterface,leafref,read+write,uint32,,,,
acl/interfaces/interface/interface-ref/state/interface,leafref,read,string,,,,
acl/interfaces/interface/interface-ref/state/subinterface,leafref,read,uint32,,,,
arista/eos,container,,,,augmented,,Augment mlag model at /arista/eos/ | augment at /arista/eos
arista/anic/interfaces/interface/anic-profile-name,leaf,read,string,,,,gNMI-only access
arista/anic/interfaces/interface/connection-not-active-reason,leaf,read,string,,,,gNMI-only access
arista/anic/interfaces/interface/management-state,leaf,read,container,,,,gNMI-only access
arista/anic/interfaces/interface/name,leaf,read,string,,,,gNMI-only access
arista/anic/interfaces/interface/job-status/job-name,leaf,read,string,,,,gNMI-only access
